player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:00
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 200 | Level 1 | 2025-10-20 16:04:01
player1 | 0 | Level 1 | 2025-10-20 23:01:18
player1 | 10 | Level 1 | 2025-10-21 01:05:13
player1 | 70 | Level 2 | 2025-10-21 08:32:11
player1 | 100 | Level 2 | 2025-10-21 08:32:24
player1 | 120 | Level 2 | 2025-10-21 08:32:31
player1 | 130 | Level 2 | 2025-10-21 08:32:34
player1 | 160 | Level 2 | 2025-10-21 08:34:06
player1 | 60 | Level 2 | 2025-10-22 18:38:29
player1 | 70 | Level 2 | 2025-10-22 18:38:32
player1 | 80 | Level 2 | 2025-10-22 18:38:35
player1 | 90 | Level 2 | 2025-10-22 18:38:38
player1 | 100 | Level 2 | 2025-10-22 18:38:41
player1 | 110 | Level 2 | 2025-10-22 18:38:44
player1 | 120 | Level 2 | 2025-10-22 18:38:47
player1 | 130 | Level 2 | 2025-10-22 18:38:50
player1 | 140 | Level 2 | 2025-10-22 18:38:52
player1 | 150 | Level 2 | 2025-10-22 18:38:56
player1 | 160 | Level 2 | 2025-10-22 18:38:59
player1 | 170 | Level 2 | 2025-10-22 18:39:00
player1 | 180 | Level 2 | 2025-10-22 18:39:00
player1 | 190 | Level 2 | 2025-10-22 18:39:00
player1 | 200 | Level 2 | 2025-10-22 18:39:00
player1 | 210 | Level 2 | 2025-10-22 18:39:00
player1 | 220 | Level 2 | 2025-10-22 18:39:00
player1 | 230 | Level 2 | 2025-10-22 18:39:00
player1 | 240 | Level 2 | 2025-10-22 18:39:00
player1 | 250 | Level 2 | 2025-10-22 18:39:00
player1 | 260 | Level 2 | 2025-10-22 18:39:00
player1 | 270 | Level 2 | 2025-10-22 18:39:00
player1 | 280 | Level 2 | 2025-10-22 18:39:00
player1 | 290 | Level 2 | 2025-10-22 18:39:00
player1 | 300 | Level 2 | 2025-10-22 18:39:01
player1 | 310 | Level 2 | 2025-10-22 18:39:01
player1 | 320 | Level 2 | 2025-10-22 18:39:01
player1 | 330 | Level 2 | 2025-10-22 18:39:01
player1 | 340 | Level 2 | 2025-10-22 18:39:01
player1 | 350 | Level 2 | 2025-10-22 18:39:01
player1 | 360 | Level 2 | 2025-10-22 18:39:01
player1 | 370 | Level 2 | 2025-10-22 18:39:01
player1 | 380 | Level 2 | 2025-10-22 18:39:01
player1 | 390 | Level 2 | 2025-10-22 18:39:01
player1 | 400 | Level 2 | 2025-10-22 18:39:01
player1 | 410 | Level 2 | 2025-10-22 18:39:01
player1 | 420 | Level 2 | 2025-10-22 18:39:01
player1 | 430 | Level 2 | 2025-10-22 18:39:01
player1 | 440 | Level 2 | 2025-10-22 18:39:01
player1 | 450 | Level 2 | 2025-10-22 18:39:01
player1 | 460 | Level 2 | 2025-10-22 18:39:02
player1 | 470 | Level 2 | 2025-10-22 18:39:02
player1 | 480 | Level 2 | 2025-10-22 18:39:02
player1 | 490 | Level 2 | 2025-10-22 18:39:02
player1 | 500 | Level 2 | 2025-10-22 18:39:02
player1 | 510 | Level 2 | 2025-10-22 18:39:02
player1 | 520 | Level 2 | 2025-10-22 18:39:02
player1 | 530 | Level 2 | 2025-10-22 18:39:02
player1 | 540 | Level 2 | 2025-10-22 18:39:02
player1 | 550 | Level 2 | 2025-10-22 18:39:02
player1 | 560 | Level 2 | 2025-10-22 18:39:02
player1 | 570 | Level 2 | 2025-10-22 18:39:02
player1 | 580 | Level 2 | 2025-10-22 18:39:02
player1 | 590 | Level 2 | 2025-10-22 18:39:02
player1 | 600 | Level 2 | 2025-10-22 18:39:02
player1 | 610 | Level 2 | 2025-10-22 18:39:02
player1 | 620 | Level 2 | 2025-10-22 18:39:02
player1 | 630 | Level 2 | 2025-10-22 18:39:03
player1 | 640 | Level 2 | 2025-10-22 18:39:03
player1 | 650 | Level 2 | 2025-10-22 18:39:03
player1 | 660 | Level 2 | 2025-10-22 18:39:03
player1 | 670 | Level 2 | 2025-10-22 18:39:03
player1 | 680 | Level 2 | 2025-10-22 18:39:03
player1 | 690 | Level 2 | 2025-10-22 18:39:03
player1 | 700 | Level 2 | 2025-10-22 18:39:03
player1 | 710 | Level 2 | 2025-10-22 18:39:03
player1 | 720 | Level 2 | 2025-10-22 18:39:03
player1 | 730 | Level 2 | 2025-10-22 18:39:03
player1 | 740 | Level 2 | 2025-10-22 18:39:03
player1 | 750 | Level 2 | 2025-10-22 18:39:03
player1 | 760 | Level 2 | 2025-10-22 18:39:03
player1 | 770 | Level 2 | 2025-10-22 18:39:03
player1 | 780 | Level 2 | 2025-10-22 18:39:03
player1 | 790 | Level 2 | 2025-10-22 18:39:04
player1 | 800 | Level 2 | 2025-10-22 18:39:04
player1 | 810 | Level 2 | 2025-10-22 18:39:04
player1 | 820 | Level 2 | 2025-10-22 18:39:04
player1 | 830 | Level 2 | 2025-10-22 18:39:04
player1 | 840 | Level 2 | 2025-10-22 18:39:04
player1 | 850 | Level 2 | 2025-10-22 18:39:04
player1 | 860 | Level 2 | 2025-10-22 18:39:04
player1 | 870 | Level 2 | 2025-10-22 18:39:04
player1 | 880 | Level 2 | 2025-10-22 18:39:04
player1 | 890 | Level 2 | 2025-10-22 18:39:04
player1 | 900 | Level 2 | 2025-10-22 18:39:04
player1 | 910 | Level 2 | 2025-10-22 18:39:04
player1 | 920 | Level 2 | 2025-10-22 18:39:04
player1 | 930 | Level 2 | 2025-10-22 18:39:04
player1 | 940 | Level 2 | 2025-10-22 18:39:04
player1 | 950 | Level 2 | 2025-10-22 18:39:04
player1 | 960 | Level 2 | 2025-10-22 18:39:04
player1 | 970 | Level 2 | 2025-10-22 18:39:05
player1 | 980 | Level 2 | 2025-10-22 18:39:05
player1 | 990 | Level 2 | 2025-10-22 18:39:05
player1 | 1000 | Level 2 | 2025-10-22 18:39:05
player1 | 1010 | Level 2 | 2025-10-22 18:39:05
player1 | 1020 | Level 2 | 2025-10-22 18:39:05
player1 | 1030 | Level 2 | 2025-10-22 18:39:05
player1 | 1040 | Level 2 | 2025-10-22 18:39:05
player1 | 1050 | Level 2 | 2025-10-22 18:39:05
player1 | 1060 | Level 2 | 2025-10-22 18:39:06
player1 | 1070 | Level 2 | 2025-10-22 18:39:06
player1 | 1080 | Level 2 | 2025-10-22 18:39:06
player1 | 1090 | Level 2 | 2025-10-22 18:39:06
player1 | 1100 | Level 2 | 2025-10-22 18:39:06
player1 | 1110 | Level 2 | 2025-10-22 18:39:06
player1 | 1120 | Level 2 | 2025-10-22 18:39:06
player1 | 1130 | Level 2 | 2025-10-22 18:39:06
player1 | 1140 | Level 2 | 2025-10-22 18:39:06
player1 | 1150 | Level 2 | 2025-10-22 18:39:07
player1 | 1160 | Level 2 | 2025-10-22 18:39:07
